block,occupancy_idx,path_idx,phase_idx,label,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
confirmation,1,3,3,static_only,221002,0,524004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase03_static_only,90af02170d880284
confirmation,1,3,3,mobile_plus_spin_density,221002,322004,524004,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,2,0,0,static_only,221003,0,621001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase00_static_only,90af02170d880284
confirmation,2,0,0,mobile_plus_spin_density,221003,323001,621001,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,2,0,1,static_only,221003,0,621002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase01_static_only,90af02170d880284
confirmation,2,0,1,mobile_plus_spin_density,221003,323001,621002,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,2,0,2,static_only,221003,0,621003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase02_static_only,90af02170d880284
confirmation,2,0,2,mobile_plus_spin_density,221003,323001,621003,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,2,0,3,static_only,221003,0,621004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase03_static_only,90af02170d880284
confirmation,2,0,3,mobile_plus_spin_density,221003,323001,621004,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,2,1,0,static_only,221003,0,622001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase00_static_only,90af02170d880284
confirmation,2,1,0,mobile_plus_spin_density,221003,323002,622001,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,2,1,1,static_only,221003,0,622002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase01_static_only,90af02170d880284
confirmation,2,1,1,mobile_plus_spin_density,221003,323002,622002,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,2,1,2,static_only,221003,0,622003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase02_static_only,90af02170d880284
confirmation,2,1,2,mobile_plus_spin_density,221003,323002,622003,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,2,1,3,static_only,221003,0,622004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase03_static_only,90af02170d880284
confirmation,2,1,3,mobile_plus_spin_density,221003,323002,622004,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,2,2,0,static_only,221003,0,623001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase00_static_only,90af02170d880284
confirmation,2,2,0,mobile_plus_spin_density,221003,323003,623001,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,2,2,1,static_only,221003,0,623002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase01_static_only,90af02170d880284
confirmation,2,2,1,mobile_plus_spin_density,221003,323003,623002,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,2,2,2,static_only,221003,0,623003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase02_static_only,90af02170d880284
confirmation,2,2,2,mobile_plus_spin_density,221003,323003,623003,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,2,2,3,static_only,221003,0,623004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase03_static_only,90af02170d880284
confirmation,2,2,3,mobile_plus_spin_density,221003,323003,623004,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase03_mobile_plus_spin_density,90af02170d880284
