stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,xi2_db_fixed,xi2_db_min,fixed_time,time_at_min,N_eff_fixed,active_bonds_fixed,runtime_seconds,config_hash
stage5c2d,confirmation,3x3x3,27,static_only,1,3,0,221002,0,524001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase00_static_only,-3.3936855437890285,-4.640134940180892,0.9227272727272726,1.4,23.0,39.0,0.31321058404864743,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,3,0,221002,322004,524001,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase00_mobile_plus_spin_density,-2.8055959933816057,-3.2751060784622683,0.9227272727272726,1.2727272727272725,23.0,40.0,0.3162005830090493,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,3,1,221002,0,524002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase01_static_only,-3.2741915631564393,-4.601041981372659,0.9227272727272726,1.4,23.0,39.0,0.3125939589808695,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,3,1,221002,322004,524002,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase01_mobile_plus_spin_density,-3.08510837115628,-3.638873455546186,0.9227272727272726,1.2727272727272725,23.0,40.0,0.31695362500613555,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,3,2,221002,0,524003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase02_static_only,-3.3540779740924824,-4.483826714512228,0.9227272727272726,1.4,23.0,39.0,0.31247762497514486,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,3,2,221002,322004,524003,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase02_mobile_plus_spin_density,-3.1341564411419816,-3.6084319249874133,0.9227272727272726,1.0818181818181818,23.0,40.0,0.3165992919821292,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,3,3,221002,0,524004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase03_static_only,-3.375729299136381,-4.645568800245983,0.9227272727272726,1.4,23.0,39.0,0.31216258299537003,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,3,3,221002,322004,524004,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase03_mobile_plus_spin_density,-2.9296595390408293,-3.5934984662747533,0.9227272727272726,1.4,23.0,40.0,0.31655629200395197,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,0,0,221003,0,621001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase00_static_only,-3.3474864623437433,-4.566165780037508,0.9227272727272726,1.4,22.0,37.0,0.3042002500151284,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,0,0,221003,323001,621001,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase00_mobile_plus_spin_density,-3.1490860884289718,-3.2351768769574014,0.9227272727272726,0.9545454545454545,22.0,35.0,0.30018008302431554,90af02170d880284
